Date ,Crude Temp In ,Crude Temp Out ,"CDU1 rate  
(KBPD)",Crude Flow rate (kg/hr),Kero Temp In ,Kero Temp Out ,Kero Flow m3/hr ,Furnace inlet temp (deg C),Crude Temp Increase, Kero Temp decrease,Q (heat exchanged) MW,Hot-in - Cold-out,Hot-out -Cold-in,LMTD,U transfer rate,Cummulative Flow Tones per day,Fouling Resistance
23-07-2012,159.3176424,174.3612,101.4609,464061.9566,295.3304034,233.8295,127.4303,196.6044,15.04355388,61.50087626,5.080719317,120.9692071,74.51188471,95.87183304,95.1093173,463716.5056,0.010514217
24-07-2012,155.162587,167.8842,102.3871,468297.959,279.8172328,216.1087,107.1234,194.0892,12.72162003,63.70855242,4.33574244,111.9330258,60.94609339,83.87237046,92.77553133,474955.6566,0.010778704
25-07-2012,153.7918361,166.2456,101.953,466312.5689,274.940563,214.9503,111.3866,192.746,12.453741,59.99023508,4.226450059,108.6949858,61.15849176,82.6611022,91.76212071,486147.1583,0.010897743
26-07-2012,151.3309763,163.9441,101.6709,465022.4203,273.0568695,214.0834,114.1333,190.2757,12.61317122,58.97351263,4.26871317,109.1127219,62.75238051,83.80621866,91.41334912,497307.6963,0.010939321
27-07-2012,149.7556764,160.7568,101.3502,463555.4297,254.2969532,205.4653,126.4981,190.6192,11.00115442,48.83162979,3.711408207,93.54012241,55.70964704,72.99838817,91.24610715,508433.0267,0.010959372
28-07-2012,156.4015138,165.5842,99.5899,455504.4085,243.651106,205.6449,131.2192,201.1676,9.18264934,38.00623699,3.044103225,78.06694289,49.24335524,62.55223898,87.33843549,519365.1325,0.011449713
29-07-2012,158.1452483,167.5052,98.5059,450546.382,248.0561374,210.8329,134.8063,204.1573,9.359998674,37.22323404,3.069121519,80.55089044,52.68765507,65.63654006,83.91841967,530178.2456,0.011916335
30-07-2012,159.9643101,171.1745,102.8309,470327.9075,259.0894953,219.6516,156.4845,207.1609,11.21023932,39.43788348,3.837199892,87.9149459,59.68730174,72.89246165,94.47582625,541466.1154,0.010584718
31-07-2012,160.7667632,168.8931,103.0383,471276.3962,258.381527,228.6522,151.8871,204.7271,8.126382248,29.72930936,2.787223057,89.4883816,67.88545449,78.19016568,63.97473342,552776.7489,0.015631171
01-08-2012,163.9857038,169.1371,83.4154,381525.385,243.3594981,215.3025,89.8499,204.7406,5.151428128,28.05698008,1.430374881,74.22236613,51.31681417,62.06674842,41.35992791,561933.3582,0.024177992
02-08-2012,160.7602412,165.8342,86.0137,393409.6408,244.1340389,214.0685,85.9627,202.4119,5.073979937,30.06551045,1.452755521,78.29981775,53.30828723,65.00534456,40.10812523,571375.1895,0.024932604
03-08-2012,151.8095053,156.7303,100.8074,461072.8642,239.1719061,211.3241,104.5098,191.7549,4.920828952,27.84778198,1.651226398,82.44157182,59.51461878,70.35659801,42.1202251,582440.9383,0.023741564
04-08-2012,151.3915286,159.5054,100.6211,460221.0151,237.9649949,191.8696,100.6234,192.9175,8.113906595,46.09536295,2.71766074,78.45955972,40.47810336,57.38921829,84.98725917,593486.2426,0.01176647
05-08-2012,150.6090967,159.4817,100.8602,461314.4104,241.5369731,195.6566,109.6327,192.658,8.872569975,45.88040458,2.978826748,82.05530637,45.04747176,61.71298496,86.62785961,604557.7885,0.01154363
06-08-2012,156.5986765,168.6843,101.2144,462934.4635,259.3508969,214.2975,142.5693,201.1091,12.08566194,45.05343472,4.07182164,90.66655842,57.69878564,72.94522311,100.1799433,615668.2156,0.009982038
07-08-2012,157.5016298,169.2817,101.315,463394.4058,260.2205986,215.7763,141.9963,201.5251,11.78005635,44.44430331,3.972802222,90.93891243,58.27466547,73.39941346,97.13891492,626789.6813,0.010294535
