No. of obs,Cluster no., KWH   ,,,,,,,,,,,
157,2,0.0039,,,,,,,,,,,
158,2,0.0038,,,,,,,,,,,
159,2,0.006,,,,,,,,,,,
160,2,0.015,,,,,,,,,,,
161,2,0.0215,,,,,,,,,,,
162,2,0.0497,,,,,,,,,,,
163,2,0.0713,,,,,,,,,,,
164,2,0.0797,,,,,,,,,,,
165,2,0.091,,,,,,,,,,,
166,2,0.105,,,,,,,,,,,
167,2,0.1471,,,,,,,,,,,
168,2,0.1472,,,,,,,,,,,
169,2,0.1544,,,,,,,,,,,
170,2,0.1543,,,,,,,,,,,
171,2,0.1512,,,,,,,,,,,
172,2,0.1361,,,,,,,,,,,
173,2,0.1401,,,,,,,,,,,
174,2,0.1292,,,,,,,,,,,
175,2,0.101,,,,,,,,,,,
176,2,0.1063,,,,,,,,,,,
177,2,0.1094,,,,,,,,,,,
178,2,0.1107,,,,,,,,,,,
179,2,0.1049,,,,,,,,,,,
180,2,0.1079,,,,,,,,,,,
181,2,0.0826,,,,,,,,,,,
182,2,0.0531,,,,,,,,,,,
183,2,0.0458,,,,,,,,,,,
184,2,0.034,,,,,,,,,,,
185,2,0.0333,,,,,,,,,,,
186,2,0.0105,,,,,,,,,,,
187,2,0.0096,,,,,,,,,,,
188,2,0.0102,,,,,,,,,,,
189,2,0.0088,,,,,,,,,,,
190,2,0.0061,,,,,,,,,,,
191,2,0.0047,,,,,,,,,,,
192,2,0.0048,,,,,,,,,,,
193,2,0.0049,,,,,,,,,,,
194,2,0.0046,,,,,,,,,,,
195,2,0.005,,,,,,,,,,,
196,2,0.0048,,,,,,,,,,,
197,2,0.0047,,,,,,,,,,,
198,2,0.0052,,,,,,,,,,,
199,2,0.0048,,,,,,,,,,,
200,2,0.0053,,,,,,,,,,,
201,2,0.0047,,,,,,,,,,,
202,2,0.005,,,,,,,,,,,
203,2,0.0038,,,,,,,,,,,
204,2,0.0041,,,,,,,,,,,
205,2,0.0038,,,,,,,,,,,
206,2,0.0039,,,,,,,,,,,
207,2,0.0088,,,,,,,,,,,
208,2,0.0123,,,,,,,,,,,
209,2,0.0173,,,,,,,,,,,
210,2,0.023,,,,,,,,,,,
211,2,0.0353,,,,,,,,,,,
212,2,0.0647,,,,,,,,,,,
213,2,0.0901,,,,,,,,,,,
214,2,0.11,,,,,,,,,,,
215,2,0.1199,,,,,,,,,,,
216,2,0.1117,,,,,,,,,,,
217,2,0.1171,,,,,,,,,,,
218,2,0.1122,,,,,,,,,,,
219,2,0.1128,,,,,,,,,,,
220,2,0.1206,,,,,,,,,,,
221,2,0.1272,,,,,,,,,,,
222,2,0.1098,,,,,,,,,,,
223,2,0.0975,,,,,,,,,,,
224,2,0.1116,,,,,,,,,,,
225,2,0.1156,,,,,,,,,,,
226,2,0.1203,,,,,,,,,,,
227,2,0.1061,,,,,,,,,,,
228,2,0.0979,,,,,,,,,,,
229,2,0.0654,,,,,,,,,,,
230,2,0.0311,,,,,,,,,,,
231,2,0.0125,,,,,,,,,,,
232,2,0.015,,,,,,,,,,,
233,2,0.0394,,,,,,,,,,,
234,2,0.0127,,,,,,,,,,,
235,2,0.0093,,,,,,,,,,,
236,2,0.0108,,,,,,,,,,,
237,2,0.0083,,,,,,,,,,,
238,2,0.0052,,,,,,,,,,,
239,2,0.0048,,,,,,,,,,,
240,2,0.0045,,,,,,,,,,,
241,2,0.0048,,,,,,,,,,,
242,2,0.0052,,,,,,,,,,,
243,2,0.005,,,,,,,,,,,
244,2,0.0049,,,,,,,,,,,
245,2,0.0048,,,,,,,,,,,
246,2,0.0048,,,,,,,,,,,
247,2,0.0048,,,,,,,,,,,
248,2,0.0049,,,,,,,,,,,
249,2,0.0051,,,,,,,,,,,
250,2,0.0053,,,,,,,,,,,
251,2,0.0049,,,,,,,,,,,
252,2,0.0048,,,,,,,,,,,
253,2,0.0308,,,,,,,,,,,
254,2,0.0245,,,,,,,,,,,
255,2,0.0081,,,,,,,,,,,
256,2,0.0127,,,,,,,,,,,
257,2,0.0187,,,,,,,,,,,
258,2,0.0185,,,,,,,,,,,
259,2,0.0277,,,,,,,,,,,
260,2,0.0486,,,,,,,,,,,
261,2,0.0809,,,,,,,,,,,
262,2,0.0966,,,,,,,,,,,
263,2,0.1339,,,,,,,,,,,
264,2,0.1301,,,,,,,,,,,
265,2,0.1335,,,,,,,,,,,
266,2,0.1401,,,,,,,,,,,
267,2,0.1283,,,,,,,,,,,
268,2,0.1263,,,,,,,,,,,
269,2,0.1275,,,,,,,,,,,
270,2,0.1033,,,,,,,,,,,
271,2,0.0929,,,,,,,,,,,
272,2,0.1155,,,,,,,,,,,
273,2,0.1105,,,,,,,,,,,
274,2,0.1096,,,,,,,,,,,
275,2,0.0974,,,,,,,,,,,
276,2,0.0929,,,,,,,,,,,
277,2,0.0701,,,,,,,,,,,
278,2,0.0474,,,,,,,,,,,
279,2,0.0379,,,,,,,,,,,
280,2,0.0271,,,,,,,,,,,
281,2,0.0257,,,,,,,,,,,
282,2,0.0166,,,,,,,,,,,
283,2,0.0112,,,,,,,,,,,
284,2,0.0308,,,,,,,,,,,
285,2,0.0092,,,,,,,,,,,
286,2,0.0046,,,,,,,,,,,
287,2,0.0044,,,,,,,,,,,
288,2,0.0049,,,,,,,,,,,
289,2,0.005,,,,,,,,,,,
290,2,0.0052,,,,,,,,,,,
291,2,0.0053,,,,,,,,,,,
292,2,0.0055,,,,,,,,,,,
293,2,0.0059,,,,,,,,,,,
294,2,0.0052,,,,,,,,,,,
295,2,0.0054,,,,,,,,,,,
296,2,0.0057,,,,,,,,,,,
297,2,0.0057,,,,,,,,,,,
298,2,0.0053,,,,,,,,,,,
299,2,0.0049,,,,,,,,,,,
300,2,0.0048,,,,,,,,,,,
301,2,0.0044,,,,,,,,,,,
302,2,0.004,,,,,,,,,,,
303,2,0.0077,,,,,,,,,,,
304,2,0.0138,,,,,,,,,,,
305,2,0.0237,,,,,,,,,,,
306,2,0.0222,,,,,,,,,,,
307,2,0.0466,,,,,,,,,,,
308,2,0.062,,,,,,,,,,,
309,2,0.0692,,,,,,,,,,,
310,2,0.078,,,,,,,,,,,
311,2,0.0963,,,,,,,,,,,
312,2,0.0882,,,,,,,,,,,
313,2,0.0864,,,,,,,,,,,
314,2,0.0838,,,,,,,,,,,
315,2,0.0868,,,,,,,,,,,
316,2,0.0801,,,,,,,,,,,
317,2,0.0678,,,,,,,,,,,
318,2,0.0556,,,,,,,,,,,
319,2,0.0548,,,,,,,,,,,
320,2,0.0556,,,,,,,,,,,
321,2,0.0636,,,,,,,,,,,
322,2,0.0729,,,,,,,,,,,
323,2,0.0416,,,,,,,,,,,
324,2,0.0183,,,,,,,,,,,
325,2,0.0164,,,,,,,,,,,
326,2,0.014,,,,,,,,,,,
327,2,0.0142,,,,,,,,,,,
328,2,0.0269,,,,,,,,,,,
329,2,0.0129,,,,,,,,,,,
330,2,0.0126,,,,,,,,,,,
331,2,0.0124,,,,,,,,,,,
332,2,0.0128,,,,,,,,,,,
333,2,0.0111,,,,,,,,,,,
334,2,0.0043,,,,,,,,,,,
335,2,0.004,,,,,,,,,,,
336,2,0.0044,,,,,,,,,,,
337,2,0.0036,,,,,,,,,,,
338,2,0.0039,,,,,,,,,,,
339,2,0.0041,,,,,,,,,,,
340,2,0.004,,,,,,,,,,,
341,2,0.0043,,,,,,,,,,,
342,2,0.0057,,,,,,,,,,,
343,2,0.0056,,,,,,,,,,,
344,2,0.0054,,,,,,,,,,,
345,2,0.0061,,,,,,,,,,,
346,2,0.0049,,,,,,,,,,,
347,2,0.004,,,,,,,,,,,
348,2,0.005,,,,,,,,,,,
349,2,0.005,,,,,,,,,,,
350,2,0.004,,,,,,,,,,,
351,2,0.0048,,,,,,,,,,,
352,2,0.0071,,,,,,,,,,,
353,2,0.0087,,,,,,,,,,,
354,2,0.0101,,,,,,,,,,,
355,2,0.0084,,,,,,,,,,,
356,2,0.0072,,,,,,,,,,,
357,2,0.0088,,,,,,,,,,,
358,2,0.0082,,,,,,,,,,,
359,2,0.0082,,,,,,,,,,,
360,2,0.0088,,,,,,,,,,,
361,2,0.0082,,,,,,,,,,,
362,2,0.0078,,,,,,,,,,,
363,2,0.0091,,,,,,,,,,,
364,2,0.0071,,,,,,,,,,,
365,2,0.0038,,,,,,,,,,,
366,2,0.0044,,,,,,,,,,,
367,2,0.0059,,,,,,,,,,,
368,2,0.0047,,,,,,,,,,,
369,2,0.0062,,,,,,,,,,,
370,2,0.0053,,,,,,,,,,,
371,2,0.0054,,,,,,,,,,,
372,2,0.0054,,,,,,,,,,,
373,2,0.0071,,,,,,,,,,,
374,2,0.0105,,,,,,,,,,,
375,2,0.0121,,,,,,,,,,,
376,2,0.0131,,,,,,,,,,,
377,2,0.0135,,,,,,,,,,,
378,2,0.0205,,,,,,,,,,,
379,2,0.0094,,,,,,,,,,,
380,2,0.0104,,,,,,,,,,,
381,2,0.0087,,,,,,,,,,,
382,2,0.0051,,,,,,,,,,,
383,2,0.004,,,,,,,,,,,
384,2,0.0033,,,,,,,,,,,
385,2,0.0044,,,,,,,,,,,
386,2,0.0043,,,,,,,,,,,
387,2,0.0045,,,,,,,,,,,
388,2,0.0052,,,,,,,,,,,
389,2,0.0046,,,,,,,,,,,
390,2,0.0042,,,,,,,,,,,
391,2,0.0043,,,,,,,,,,,
392,2,0.0032,,,,,,,,,,,
393,2,0.0042,,,,,,,,,,,
394,2,0.0041,,,,,,,,,,,
395,2,0.0033,,,,,,,,,,,
396,2,0.0043,,,,,,,,,,,
397,2,0.0037,,,,,,,,,,,
398,2,0.0037,,,,,,,,,,,
399,2,0.0074,,,,,,,,,,,
400,2,0.0167,,,,,,,,,,,
401,2,0.0236,,,,,,,,,,,
402,2,0.0202,,,,,,,,,,,
403,2,0.0301,,,,,,,,,,,
404,2,0.0503,,,,,,,,,,,
405,2,0.0649,,,,,,,,,,,
406,2,0.0712,,,,,,,,,,,
407,2,0.084,,,,,,,,,,,
408,2,0.0818,,,,,,,,,,,
409,2,0.0865,,,,,,,,,,,
410,2,0.0894,,,,,,,,,,,
411,2,0.0856,,,,,,,,,,,
412,2,0.0947,,,,,,,,,,,
413,2,0.1043,,,,,,,,,,,
414,2,0.1026,,,,,,,,,,,
415,2,0.0995,,,,,,,,,,,
416,2,0.0984,,,,,,,,,,,
417,2,0.1025,,,,,,,,,,,
418,2,0.099,,,,,,,,,,,
419,2,0.088,,,,,,,,,,,
420,2,0.0815,,,,,,,,,,,
421,2,0.0598,,,,,,,,,,,
422,2,0.0513,,,,,,,,,,,
423,2,0.044,,,,,,,,,,,
424,2,0.0341,,,,,,,,,,,
425,2,0.0286,,,,,,,,,,,
426,2,0.0332,,,,,,,,,,,
427,2,0.0125,,,,,,,,,,,
428,2,0.0112,,,,,,,,,,,
429,2,0.008,,,,,,,,,,,
430,2,0.0054,,,,,,,,,,,
431,2,0.0037,,,,,,,,,,,
432,2,0.0038,,,,,,,,,,,
433,2,0.0048,,,,,,,,,,,
434,2,0.0044,,,,,,,,,,,
435,2,0.0055,,,,,,,,,,,
436,2,0.005,,,,,,,,,,,
437,2,0.0048,,,,,,,,,,,
438,2,0.0057,,,,,,,,,,,
439,2,0.0045,,,,,,,,,,,
440,2,0.0054,,,,,,,,,,,
441,2,0.0052,,,,,,,,,,,
442,2,0.0042,,,,,,,,,,,
443,2,0.0044,,,,,,,,,,,
444,2,0.0034,,,,,,,,,,,
445,2,0.0042,,,,,,,,,,,
446,2,0.0041,,,,,,,,,,,
447,2,0.0059,,,,,,,,,,,
448,2,0.0093,,,,,,,,,,,
449,2,0.0099,,,,,,,,,,,
450,2,0.0188,,,,,,,,,,,
451,2,0.0269,,,,,,,,,,,
452,2,0.0528,,,,,,,,,,,
453,2,0.0598,,,,,,,,,,,
454,2,0.0729,,,,,,,,,,,
455,2,0.0843,,,,,,,,,,,
456,2,0.0736,,,,,,,,,,,
457,2,0.0737,,,,,,,,,,,
458,2,0.0747,,,,,,,,,,,
459,2,0.0799,,,,,,,,,,,
460,2,0.0751,,,,,,,,,,,
461,2,0.0757,,,,,,,,,,,
462,2,0.0804,,,,,,,,,,,
463,2,0.0837,,,,,,,,,,,
