 DATE,Sum of  KWH   
"Saturday, February 16, 2013",55.1962
"Sunday, February 17, 2013",85.5967
"Monday, February 18, 2013",90.8692
"Tuesday, February 19, 2013",90.9046
"Wednesday, February 20, 2013",88.8523
"Thursday, February 21, 2013",90.5381
"Friday, February 22, 2013",80.1268
"Saturday, February 23, 2013",57.5448
"Sunday, February 24, 2013",81.901
"Monday, February 25, 2013",92.6256
"Tuesday, February 26, 2013",92.3399
"Wednesday, February 27, 2013",89.0433
"Thursday, February 28, 2013",95.7477
"Friday, March 01, 2013",84.2184
"Saturday, March 02, 2013",0.9897
"Sunday, March 03, 2013",0
"Monday, March 04, 2013",0
"Tuesday, March 05, 2013",0
,
